,BILL_MONTH,DIVISION,SUB_DIVISION,Billing for Jan 23,METER_STATUS,BILL_STATUS,REALIZATION_PAYMENT,TOTAL_CURRENT_BILL,TOTAL_CURRENT_BILL_AFTHLKADJ,TOTAL_BILLDED_ARREAR_AMT_DF,TOTAL_BILLDED_ARR_AMT_MEPDCL,tot_bill
34464,Jan-23,TURA,PHULBARI,140.46,OK,ACT,500,141.26,141.26,4288.77,0,
34474,Jan-23,TURA,PHULBARI,115.05,OK,ACT,,116.05,116.05,207.18,0,
34486,Jan-23,TURA,PHULBARI,161.84,OK,ACT,170,163.49,163.49,3.61,0,
34487,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,1837,0,
34491,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34495,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,6810.68,0,
34496,Jan-23,TURA,PHULBARI,176.68,OK,ACT,,178.48,178.48,4258.17,0,
34501,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34506,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,1837,0,
34523,Jan-23,TURA,PHULBARI,280.75,OK,ACT,,283.5,283.5,0,0,
